charge_id,start_timestamp_utc,end_timestamp_utc,start_soc,end_soc,delta_soc,duration_sec,latitude,longitude,ambient_temp_c
charge_2026-04-21T220541281322Z_7881_7679f832,2026-04-21T22:05:41.281322Z,2026-04-21T23:14:50.281322Z,56,75,19,4149,21.034435,105.821805,29.1
charge_2026-04-22T015149349083Z_7458_82622f35,2026-04-22T01:51:49.349083Z,2026-04-22T04:46:30.349083Z,48,100,52,10481,21.034384,105.821826,22.5
charge_2026-04-24T054054433413Z_8431_34250c1a,2026-04-24T05:40:54.433413Z,2026-04-24T08:33:34.433413Z,32,78,46,10360,21.034433,105.821826,28.66
charge_2026-04-25T032349279917Z_6578_f82c0b0b,2026-04-25T03:23:49.279917Z,2026-04-25T07:24:24.279917Z,32,96,64,14435,21.034371,105.82179,23.13
charge_2026-04-27T152833598220Z_9183_61eff209,2026-04-27T15:28:33.598220Z,2026-04-27T18:12:34.598220Z,32,79,47,9841,21.034343,105.821751,24.52
charge_2026-04-29T201759697881Z_5023_8a6471cd,2026-04-29T20:17:59.697881Z,2026-04-29T23:52:40.697881Z,22,82,60,12881,21.034422,105.821781,27.17
charge_2026-04-30T054141667253Z_7910_d7e187e6,2026-04-30T05:41:41.667253Z,2026-04-30T08:12:42.667253Z,36,78,42,9061,21.034383,105.82186,28.51
charge_2026-05-01T222607510198Z_1037_44180c6c,2026-05-01T22:26:07.510198Z,2026-05-02T02:19:56.510198Z,30,92,62,14029,21.034376,105.821812,32.95
charge_2026-05-02T061956474226Z_4990_d51c4ef3,2026-05-02T06:19:56.510198Z,2026-05-02T10:56:26.510198Z,16,100,84,16590,21.034371,105.82176,29.92
charge_2026-05-03T232528520396Z_8511_c9acb46b,2026-05-03T23:25:28.520396Z,2026-05-04T02:55:28.520396Z,32,100,68,12600,21.034304,105.821814,30.18
charge_2026-05-04T065528843661Z_1488_de6b72e9,2026-05-04T06:55:28.520396Z,2026-05-04T10:18:15.520396Z,47,100,53,12167,21.03448,105.821808,26.5
charge_2026-05-04T143222378959Z_9532_ba0bd735,2026-05-04T14:32:22.378959Z,2026-05-04T16:06:21.378959Z,52,79,27,5639,21.034371,105.821822,27.89
charge_2026-05-04T230953181835Z_5236_fa94a08a,2026-05-04T23:09:53.181835Z,2026-05-05T00:06:11.181835Z,50,67,17,3378,21.03445,105.821821,33.29
